,Trial ID,Title,Altmetric Attention Score,Condition
0,NCT04575597,"A Phase 2/3, Randomized, Placebo-Controlled, Double-Blind Clinical Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of MK-4482 in Non-Hospitalized Adults With COVID-19.",1703.0,Coronavirus Disease (COVID-19)
1,NCT02819635,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Upadacitinib (ABT-494) for Induction and Maintenance Therapy in Subjects With Moderately to Severely Active Ulcerative Colitis",1283.0,Ulcerative Colitis (UC)
2,NCT03104400,"A Phase 3, Randomized, Double-Blind, Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Subjects With Active Psoriatic Arthritis Who Have a History of Inadequate Response to at Least One Non-Biologic Disease Modifying Anti-Rheumatic Drug (DMARD) - SELECT - PsA 1",1247.0,Psoriatic Arthritis
3,NCT03105128,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study of the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Crohn's Disease",1129.0,Crohn's Disease
4,NCT04292899,A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe COVID-19,1081.0,COVID-19
5,NCT03398148,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study to Evaluate the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Ulcerative Colitis",1061.0,Ulcerative Colitis (UC)
6,NCT03398135,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Ulcerative Colitis",1030.0,Ulcerative Colitis (UC)
7,NCT03569293,"A Phase 3 Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Upadacitinib in Adolescent and Adult Subjects With Moderate to Severe Atopic Dermatitis",1010.0,Atopic Dermatitis
8,NCT03671148,"A Phase 3, Randomized, Double-Blind Study Comparing Risankizumab to Placebo in Subjects With Active Psoriatic Arthritis Including Those Who Have a History of Inadequate Response or Intolerance to Biologic Therapy(Ies) (KEEPsAKE 2)",962.0,Psoriatic Arthritis (PsA)
9,NCT03345836,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Biologic Therapy",955.0,Crohn's Disease
10,NCT03738397,"A Phase 3b Multicenter, Randomized, Double-Blind, Double-Dummy, Active Controlled Study Comparing the Safety and Efficacy of Upadacitinib to Dupilumab in Adult Subjects With Moderate to Severe Atopic Dermatitis",940.0,Atopic Dermatitis
11,NCT03653026,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study to Evaluate the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Moderately to Severely Active Ulcerative Colitis",891.0,Ulcerative Colitis (UC)
12,NCT03345823,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Maintenance and Long-Term Extension Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Crohn's Disease Who Completed the Studies M14-431 or M14-433",861.0,Crohn's Disease
13,NCT02811861,"A Multicenter, Open-label, Randomized, Phase 3 Trial to Compare the Efficacy and Safety of Lenvatinib in Combination With Everolimus or Pembrolizumab Versus Sunitinib Alone in First-Line Treatment of Subjects With Advanced Renal Cell Carcinoma (CLEAR)",860.0,Renal Cell Carcinoma
14,NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,Newly Diagnosed Acute Myeloid Leukemia (AML)
15,NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,Untreated AML
16,NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,AML Arising From Myelodysplastic Syndrome (MDS)
17,NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,"Leukemia, Myeloid, Acute"
18,NCT04557098,"A Phase 1/2, First-in-Human, Open-Label, Dose Escalation Study of Teclistamab, a Humanized BCMA x CD3 Bispecific Antibody, in Subjects With Relapsed or Refractory Multiple Myeloma",834.0,Hematological Malignancies
19,NCT03057951,"A Phase III Randomised, Double-blind Trial to Evaluate Efficacy and Safety of Once Daily Empagliflozin 10 mg Compared to Placebo, in Patients With Chronic Heart Failure With Preserved Ejection Fraction (HFpEF)",831.0,Heart Failure
20,NCT04292730,A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate COVID-19 Compared to Standard of Care Treatment,823.0,COVID-19
21,NCT03345849,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Conventional and/or Biologic Therapies",811.0,Crohn's Disease
22,NCT04136184,"A Phase 3 Global, Open-Label, Randomized Study to Evaluate the Efficacy and Safety of ION-682884 in Patients With Hereditary Transthyretin-Mediated Amyloid Polyneuropathy",806.0,Hereditary Transthyretin-Mediated Amyloid Polyneuropathy
23,NCT03517449,"A Multicenter, Open-label, Randomized, Phase 3 Trial to Compare the Efficacy and Safety of Lenvatinib in Combination With Pembrolizumab Versus Treatment of Physician's Choice in Participants With Advanced Endometrial Cancer",796.0,Endometrial Neoplasms
24,NCT04303780,"A Phase 3 Multicenter, Randomized, Open Label, Active-controlled, Study of AMG 510 Versus Docetaxel for the Treatment of Previously Treated Locally Advanced and Unresectable or Metastatic NSCLC Subjects With Mutated KRAS p.G12C",788.0,"KRAS p, G12c Mutated /Advanced Metastatic NSCLC"
25,NCT03855137,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy, Safety, and Tolerability of Atogepant for the Prevention of Chronic Migraine (Progress)",784.0,Chronic Migraine
26,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Breast Neoplasms
27,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Brain Neoplasms
28,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Neoplasms by Site
29,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Neoplasms
30,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Breast Diseases
31,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Central Nervous System Neoplasms
32,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Brain Diseases
33,NCT05386108,"An Open-label Multicenter Phase 1b-2 Study of Elacestrant in Combination With Abemaciclib in Women and Men With Brain Metastasis From Estrogen Receptor Positive, HER-2 Negative Breast Cancer",784.0,Central Nervous System Diseases
34,NCT03675308,"A Phase 3, Randomized, Double-Blind, Study Comparing Risankizumab to Placebo in Subjects With Active Psoriatic Arthritis (PsA) Who Have a History of Inadequate Response to or Intolerance to at Least One Disease Modifying Anti-Rheumatic Drug (DMARD) Therapy (KEEPsAKE 1)",775.0,Psoriatic Arthritis
35,NCT04592419,"A Prospective, Randomized, Double-masked, Active Comparator-controlled, Multi-center, Two-arm, Phase 3 Study to Evaluate the Efficacy and Safety of Intravitreal KSI-301 Compared With Intravitreal Aflibercept in Participants With Visual Impairment Due to Treatment-naïve Macular Edema Secondary to Retinal Vein Occlusion (RVO)",774.0,Macular Edema
36,NCT04592419,"A Prospective, Randomized, Double-masked, Active Comparator-controlled, Multi-center, Two-arm, Phase 3 Study to Evaluate the Efficacy and Safety of Intravitreal KSI-301 Compared With Intravitreal Aflibercept in Participants With Visual Impairment Due to Treatment-naïve Macular Edema Secondary to Retinal Vein Occlusion (RVO)",774.0,Retinal Vein Occlusion
37,NCT04762069,"A Multicenter, Open-Label Study With a Randomized Control Arm of the Efficacy, Safety, and Pharmacokinetics of Intravenously Infused Berubicin in Adult Patients With Recurrent Glioblastoma Multiforme After Failure of Standard First Line Therapy",760.0,"Glioblastoma Multiforme, Adult"
38,NCT04185883,"A Phase 1b/2, Protocol Evaluating the Safety, Tolerability, Pharmacokinetics, and Efficacy of Sotorasib Monotherapy and in Combination With Other Anti-cancer Therapies in Subjects With Advanced Solid Tumors With KRAS p.G12C Mutation (CodeBreak 101)",757.0,Advanced Solid Tumors
