,Condition,Average Attention Score
0,Coronavirus Disease (COVID-19),1703.0
1,Psoriatic Arthritis (PsA),962.0
2,Untreated AML,834.0
3,Newly Diagnosed Acute Myeloid Leukemia (AML),834.0
4,AML Arising From Myelodysplastic Syndrome (MDS),834.0
5,"KRAS p, G12c Mutated /Advanced Metastatic NSCLC",788.0
6,Central Nervous System Neoplasms,784.0
7,Breast Diseases,784.0
8,Brain Neoplasms,784.0
9,Retinal Vein Occlusion,774.0
10,"Glioblastoma Multiforme, Adult",760.0
11,Kirsten Rat Sarcoma (KRAS) pG12C Mutation,757.0
12,Refractory Metastatic Colorectal Cancer,699.0
13,Liver Fibroses,695.0
14,"Myasthenia Gravis, Generalized",695.0
15,Non-Alcoholic Steatohepatitis,695.0
16,Fatty Liver,695.0
17,Ulcerative Colitis (UC),692.7142857142857
18,Hormone Sensitive Prostate Cancer,691.0
19,Lesion in Body Region,689.0
20,HIV-1-infection,687.0
21,Pure Autonomic Failure (PAF),685.0
22,MSA,685.0
23,Proptosis,658.0
24,Thyroid Associated Ophthalmopathy,658.0
25,IGF1R,658.0
26,Exophthalmos,658.0
27,Eye Diseases,658.0
28,Orbital Diseases,658.0
29,Graves Orbitopathy,658.0
30,Graves Ophthalmopathy,658.0
31,Hashimoto,658.0
32,Cancer of the Prostate,624.5
33,"Urinary Bladder Cancer, Muscle-invasive",613.0
34,Refractory Metastatic Gastric Cancer,584.0
35,Chronic Graft-versus-host-disease,580.0
36,Biochemically Recurrent Prostate Cancer,565.0
37,Huntingtons Disease,563.0
38,Nonmetastatic Castration-Resistant Prostate Cancer,558.0
39,Recurrent Multiple Myeloma,553.0
40,Refractory Lymphoma,553.0
41,Kidney Carcinoma,553.0
42,Colon Carcinoma,553.0
43,Esophageal Carcinoma,553.0
44,Breast Carcinoma,553.0
45,Rectal Carcinoma,553.0
46,Liver and Intrahepatic Bile Duct Carcinoma,553.0
47,Pancreatic Carcinoma,553.0
48,Bladder Carcinoma,553.0
49,Recurrent Lung Carcinoma,553.0
50,Recurrent Bladder Carcinoma,553.0
51,Cervical Carcinoma,553.0
52,Refractory Multiple Myeloma,553.0
53,Advanced Malignant Solid Neoplasm,553.0
54,Refractory Malignant Solid Neoplasm,553.0
55,Head and Neck Carcinoma,553.0
56,Recurrent Malignant Solid Neoplasm,553.0
57,Thyroid Gland Carcinoma,553.0
58,Recurrent Colon Carcinoma,553.0
59,Recurrent Head and Neck Carcinoma,553.0
60,Recurrent Prostate Carcinoma,553.0
61,Recurrent Uterine Corpus Cancer,553.0
62,Recurrent Melanoma,553.0
63,Recurrent Gastric Carcinoma,553.0
64,Recurrent Cervical Carcinoma,553.0
65,Recurrent Colorectal Carcinoma,553.0
66,Skin Carcinoma,553.0
67,Gastric Carcinoma,553.0
68,Recurrent Esophageal Carcinoma,553.0
69,Colorectal Carcinoma,553.0
70,Prostate Carcinoma,553.0
71,Recurrent Skin Carcinoma,553.0
72,Recurrent Rectal Carcinoma,553.0
73,Recurrent Thyroid Gland Carcinoma,553.0
74,Recurrent Lymphoma,553.0
75,Lung Carcinoma,553.0
76,Recurrent Pancreatic Carcinoma,553.0
77,Malignant Uterine Neoplasm,553.0
78,Recurrent Liver Carcinoma,553.0
79,Uterine Corpus Cancer,553.0
80,X-Linked Retinitis Pigmentosa,552.0
81,Recurrent Glioma,541.0
82,Indolent Systemic Mastocytosis,531.0
83,Grade 2 Glioma,529.0
84,Residual Glioma,529.0
85,Platinum Sensitive,511.0
86,BRCA Mutated,511.0
87,Premature Birth of Newborn,511.0
88,Relapsed Ovarian Cancer,511.0
89,Following Complete or Partial Response to Platinum Based Chemotherapy,511.0
90,Intestinal Malabsorption,511.0
91,Advanced or Metastatic Non-small Cell Lung Cancer,502.0
92,BRAF V600E-mutant Metastatic Colorectal Cancer,501.0
93,Acute Myelogenous Leukemia (AML),500.0
94,"Carcinoma, Non-small-Cell Lung",500.0
95,Insomnia,500.0
96,Chronic Myelogenous Leukemia (CML),500.0
97,Sjogren's Syndrome,495.0
98,Warm Autoimmune Hemolytic Anemia,493.0
99,Myositis,487.0
100,Ankylosing Spondylitis (AS),482.0
101,Resistant Hypertension,471.0
102,Thyroid Diseases,469.5
103,Stage IV Non-Small Cell Lung Cancer,467.0
104,HER2-amplified Biliary Tract Cancers,467.0
105,Early Alzheimer's Disease,447.0
106,Colorectal Neoplasm,436.0
107,Metastatic Castration-sensitive Prostate Cancer,434.0
108,Graft-versus-host Disease,428.0
109,Richter's Syndrome,409.0
110,Relapsed/Refractory Chronic Lymphocytic Leukemia,409.0
111,Hereditary Transthyretin-Mediated Amyloid Polyneuropathy,403.5
112,Central Nervous System Diseases,398.5
113,Brain Diseases,398.5
114,Insomnia Disorder,398.0
115,Non-segmental Vitiligo,381.0
116,Gastroesophageal Adenocarcinoma,377.0
117,Farber Lipogranulomatosis,373.0
118,Ceramidase Deficiency,373.0
119,Acid Ceramidase Deficiency,373.0
120,Farber's Disease,373.0
121,ASAH1 Mutation,373.0
122,Farber Disease,373.0
123,N-Laurylsphingosine Deacylase Deficiency,373.0
124,Psoriatic Arthritis,360.0
125,X-Linked Hypohidrotic Ectodermal Dysplasia (XLHED),360.0
126,Urinary Bladder Neoplasms,359.14285714285717
127,Biliary Atresia,358.0
128,Anti-Glomerular Basement Membrane Disease,353.0
129,Good Pasture Syndrome,353.0
130,Goodpasture Syndrome,353.0
131,Anti-Glomerular Basement Membrane Antibody Disease,353.0
132,Metastatic Adenocarcinoma of the Pancreas,349.0
133,Pancreatic Cancer Metastatic,348.0
134,Pancreatic Cancer Stage IV,348.0
135,Follicular Grade 3 Lymphoma,346.0
136,DLBCL Transformed From Indolent Lymphoma,346.0
137,De Novo DLBCL,346.0
138,Diabetic Macular Edema,344.0
139,Seizures Associated With EMAS,340.0
140,Non-alcoholic Steatohepatitis (NASH),337.0
141,Symptomatic Neurogenic Orthostatic Hypotension,335.3333333333333
142,Multiple System Atrophy,326.0
143,Macular Edema,325.6666666666667
144,Squamous Cell Carcinoma of the Oropharynx,319.0
145,Any Solid Tumor,312.0
146,Ovarian Carcinoma,306.5
147,Advanced/Metastatic Gastroesophageal Adenocarcinoma,306.0
148,"Squamous Cell Carcinoma, Non-Small-Cell Lung",302.0
149,Metastatic Esophageal Squamous Cell Carcinoma,296.0
150,Sacroiliac Joint Pain,295.0
151,Uveal Melanoma,293.5
152,Dry Eye Disease,289.0
153,Warm Antibody Autoimmune Hemolytic Anemia,288.5
154,Systemic Lupus Erythematosus (SLE),286.0
155,Endometrial Carcinoma,286.0
156,Dry Eye,286.0
157,Crohn's Disease,285.1363636363636
158,Endocrine Gland Neoplasm,281.0
159,Intestinal Neoplasms,281.0
160,Gastrointestinal Disease,281.0
161,Thyroid Neoplasm,281.0
162,"Carcinoma, Neuroendocrine",281.0
163,Gastrointestinal Neoplasms,281.0
164,Digestive System Neoplasm,281.0
165,RET-altered Solid Tumors,281.0
166,Colonic Neoplasms,281.0
167,Bronchial Neoplasms,281.0
168,Intestinal Disease,281.0
169,"Adenocarcinoma, Papillary",281.0
170,"Neoplasms, Glandular and Epithelial",281.0
171,Digestive System Disease,281.0
172,RET-altered Papillary Thyroid Cancer,281.0
173,RET-altered Colon Cancer,281.0
174,"Thyroid Cancer, Papillary",281.0
175,Colonic Diseases,281.0
176,RET-altered Non Small Cell Lung Cancer,281.0
177,Recurrent Ovarian Carcinoma,280.0
178,Glioma,278.0
179,Recurrent Breast Carcinoma,277.0
180,Hemorrhage,277.0
181,Dry Eye Syndrome,275.0
182,Locally Advanced or Metastatic and Unresectable HCC,275.0
183,Myelodysplastic Syndrome (MDS),270.5
184,Hematological Malignancies,268.6
185,Invasive Extraintestinal Pathogenic Escherichia Coli Disease (IED) Prevention,266.0
186,Relapsed/Refractory Multiple Myeloma,265.5
187,Thyroid Eye Disease,255.0
188,Myasthenia Gravis,255.0
189,Acute Leukemia,250.5
190,Acute Lymphoblastic Leukemia (ALL),250.5
191,Von Willebrand Disease,247.5
192,Recurrent Non-Small Cell Lung Carcinoma,246.0
193,Stage IIA Colon Cancer AJCC v8,243.0
194,Colon Adenocarcinoma,243.0
195,Coronary Disease,242.0
196,Parkinson's Disease (PD),240.66666666666666
197,"Scleroderma, Systemic",236.0
198,Liver Diseases,234.0
199,Castration-Resistant Prostatic Cancer,229.33333333333334
200,Retinopathy of Prematurity (ROP),228.0
201,Gastric Neoplasms,219.5
202,Dementia,218.66666666666666
203,"Alzheimers Disease, Familial",218.66666666666666
204,Acute-graft-versus-host Disease,217.5
205,Low Grade Ovarian Serous Adenocarcinoma,215.0
206,Atopic Dermatitis,212.6
207,"Lung Diseases, Interstitial",212.0
208,Relapsed or Refractory Systemic Light Chain Amyloidosis,211.0
209,Stage III Colon Cancer,211.0
210,ALS,209.75
211,Chronic Migraine,201.0
212,Endocrine System Diseases,199.4
213,Locally Advanced or Metastatic Urothelial Carcinoma,199.0
214,Cytomegalovirus (CMV),199.0
215,"Carcinoma, Squamous Cell of Head and Neck",198.0
216,Small-cell Lung Cancer,197.66666666666666
217,Esophageal Adenocarcinoma,196.0
218,Metastatic Colon Cancer,195.33333333333334
219,Neoplasms by Site,191.33333333333334
220,Medullary Thyroid Cancer,189.0
221,Squamous Non-Small Cell Lung Cancer,183.66666666666666
222,"Carcinoma, Hepatocellular",182.0
223,Branch Retinal Vein Occlusion,181.0
224,Wet Macular Degeneration,180.0
225,Heart Diseases,178.0
226,Primary Sclerosing Cholangitis,176.0
227,"Multiple Sclerosis, Primary Progressive",176.0
228,Familial Chylomicronemia Syndrome,175.5
229,Rhabdoid Tumors of the Kidney (RTK),174.0
230,Any Solid Tumor With an EZH2 GOF Mutation,174.0
231,Poorly Differentiated Chordoma (or Other Chordoma With Sponsor Approval),174.0
232,Malignant Rhabdoid Tumors (MRT),174.0
233,MPN (Myeloproliferative Neoplasms),174.0
234,Atypical Teratoid Rhabdoid Tumors (ATRT),174.0
235,Selected Tumors With Rhabdoid Features,174.0
236,Renal Medullary Carcinoma,174.0
237,Epithelioid Sarcoma,174.0
238,Endometrial Neoplasms,173.6
239,Primary Brain Tumors,173.0
240,Sarcomas,173.0
241,Adult Solid Tumor,173.0
242,Salivary Gland Cancers,173.0
243,Alzheimers Disease,170.75
244,Advanced Solid Tumor,170.2
245,Emphysema,170.0
246,Graft-versus-host Disease (GVHD),170.0
247,Severe Emphysema,170.0
248,Relapsed or Refractory Multiple Myeloma,169.5
249,Angelman Syndrome,169.0
250,INI1-negative Tumors,165.0
251,Malignant Rhabdoid Tumor of Ovary,165.0
252,Leukemia,163.625
253,"Carcinoma, Non-Small-Cell Lung",162.52941176470588
254,"Lymphoma, Non-Hodgkin",161.42857142857142
255,"Carcinoma, Transitional Cell",158.0
256,Adult Soft Tissue Sarcoma,157.0
257,HER2-positive Gastric Cancer,156.0
258,Rhabdoid Tumors,156.0
259,"Carcinoma, Bronchogenic",155.0
260,"Neoplasms, Germ Cell and Embryonal",155.0
261,Adenocarcinoma,155.0
262,"Neoplasms, Nerve Tissue",155.0
263,Smoldering Multiple Myeloma,155.0
264,Respiratory Tract Neoplasms,155.0
265,"Lymphoma, Mantle-Cell",155.0
266,Lung Neoplasm,155.0
267,Thoracic Neoplasms,155.0
268,Non-diabetic Chronic Kidney Disease,155.0
269,AML,154.25
270,Renal Cell Carcinoma,153.33333333333334
271,Bladder Cancer,153.11111111111111
272,"Agglutinin Disease, Cold",153.0
273,Neovascular Age-related Macular Degeneration,153.0
274,Squamous Cell Carcinoma of Anal Canal,151.0
275,BRCA 1 Gene Mutation,148.0
276,BRCA 2 Gene Mutation,148.0
277,Relapsing Multiple Sclerosis,146.42857142857142
278,Small Lymphocytic Lymphoma,143.76923076923077
279,Metastatic Urothelial Cancer,143.0
280,Neuroectodermal Tumors,141.5
281,Transthyretin-Mediated Amyloid Cardiomyopathy (ATTR CM),141.0
282,Mesothelioma,140.0
283,Pemphigus Vulgaris,140.0
