,Investigator,Number of Studies,Top Condition,Top Condition Count
0,abbvie inc,89,crohn's disease,9.0
1,francesco perrone,52,ovarian cancer,9.0
2,boehringer ingelheim,52,"carcinoma, non-small-cell lung",4.0
3,sandro pignata,27,ovarian cancer,14.0
4,antonio carroccio,25,non-celiac wheat sensitivity,11.0
5,nicola cascavilla,25,acute myeloid leukemia,5.0
6,filippo de braud,24,breast cancer,4.0
7,ciro gallo,24,ovarian cancer,6.0
8,alessandro rambaldi,23,chronic myeloid leukemia,3.0
9,lisa licitra,22,head and neck cancer,4.0
10,nicola di renzo,21,acute myeloid leukemia,3.0
11,davide chiumello,21,acute respiratory distress syndrome,4.0
12,michele spina,20,diffuse large b-cell lymphoma,3.0
13,francesco zaja,19,mantle cell lymphoma,3.0
14,renato bassan,18,acute lymphoblastic leukemia,4.0
15,bryan a. faller,18,stage iiib lung cancer ajcc v8,3.0
16,luca arcaini,18,follicular lymphoma,4.0
17,cesare gridelli,18,advanced non-small cell lung cancer,4.0
18,fabrizio pane,18,anemia,2.0
19,giuseppe tarantini,17,coronary artery disease,3.0
20,umberto vitolo,17,diffuse large b-cell lymphoma,4.0
21,site,17,melanoma,3.0
22,caterina patti,17,follicular lymphoma,3.0
23,emanuela palmerini,17,soft tissue sarcoma,3.0
24,armando santoro,17,chronic lymphocytic leukemia,2.0
25,salvatore siena,17,metastatic colorectal cancer,3.0
26,paolo corradini,17,multiple myeloma,3.0
27,alessandro morabito,16,"carcinoma, non-small-cell lung",3.0
28,gianluca gaidano,16,chronic lymphocytic leukemia,3.0
29,jay w. carlson,16,stage iiib lung cancer ajcc v8,3.0
30,attilio olivieri,16,acute myeloid leukemia,2.0
31,stefano nava,16,copd,3.0
32,kathleen j. yost,16,metastatic malignant neoplasm in the brain,2.0
33,sara galimberti,16,chronic myeloid leukemia,3.0
34,lucia del mastro,16,breast cancer,6.0
35,john m. schallenkamp,16,stage iiib lung cancer ajcc v8,3.0
36,rossana berardi,16,breast cancer,2.0
37,saverio cinieri,15,metastatic breast cancer,3.0
38,giovanni martinelli,15,acute myeloid leukemia,4.0
39,filippo pietrantonio,15,metastatic colorectal cancer,4.0
40,site coordinator,15,non small cell lung cancer,2.0
41,monica tani,15,follicular lymphoma,2.0
42,pier luigi zinzani,15,chronic lymphocytic leukemia,2.0
43,federica cavallo,15,follicular lymphoma,3.0
44,stefano zaffagnini,15,knee osteoarthritis,4.0
45,roberta licciardi,15,knee osteoarthritis,5.0
46,alessandra tucci,15,follicular lymphoma,2.0
47,lorenzo livi,15,breast cancer,6.0
48,massimo di maio,15,non-small cell lung cancer stage iiib,2.0
49,agostino tafuri,14,acute myeloid leukemia,2.0
50,paolo ascierto,14,melanoma,5.0
51,donato mannina,14,chronic lymphocytic leukemia,2.0
52,michelino de laurentiis,14,metastatic breast cancer,8.0
53,catello califano,14,acute myeloid leukemia,3.0
54,richard l. deming,14,stage iiib lung cancer ajcc v8,3.0
55,giacomo grasselli,14,lung transplant failure,2.0
56,guido gini,14,classical hodgkin lymphoma,2.0
57,maurizio martelli,13,acute myeloid leukemia,2.0
58,luigi cavanna,13,metastatic breast cancer,2.0
59,stefan hohaus,13,diffuse large b-cell lymphoma,3.0
60,anna marina liberati,13,follicular lymphoma,2.0
61,giovanni grignani,13,soft tissue sarcoma,2.0
62,alfredo falcone,13,metastatic colorectal cancer,6.0
63,silvia novello,13,gastric cancer,1.0
64,ugo de giorgi,13,malignant neoplasms,2.0
65,fabio ciceri,13,acute myeloid leukemia,2.0
66,michele maio,13,malignant mesothelioma,2.0
67,stefania gori,13,metastatic breast cancer,2.0
68,elsa pennese,13,"non-hodgkin lymphoma, b-cell",1.0
69,shahzad siddique,13,stage iiib lung cancer ajcc v8,3.0
70,timothy r. wassenaar,13,stage iiib lung cancer ajcc v8,2.0
71,pellegrino musto,13,multiple myeloma,2.0
72,nicholas dibella,13,stage iiib lung cancer ajcc v8,3.0
73,gregory a. masters,13,stage iiib lung cancer ajcc v8,3.0
74,francesco di raimondo,13,multiple myeloma,2.0
75,annalisa arcari,13,classical hodgkin lymphoma,2.0
76,umberto cillo,12,liver failure,2.0
77,sabino de placido,12,metastatic breast cancer,5.0
78,fabio puglisi,12,metastatic breast cancer,7.0
79,antonio avallone,12,colorectal cancer stage iv,2.0
80,vincenzo pavone,12,follicular lymphoma,2.0
81,david antoniucci,12,myocardial infarction,3.0
82,monica bocchia,12,acute myeloid leukemia,2.0
83,alessio g morganti,12,radiotherapy,8.0
84,luca elli,12,celiac disease,9.0
85,gerardo musuraca,12,small lymphocytic lymphoma,2.0
86,virginia ferraresi,12,leiomyosarcoma of ovary,1.0
87,elisabetta abruzzese,12,chronic myeloid leukemia,3.0
88,savino spadaro,12,acute respiratory failure,3.0
89,joshua lukenbill,12,metastatic malignant neoplasm in the brain,2.0
90,federico cappuzzo,12,non-small cell lung cancer,2.0
91,timothy d. moore,12,stage iiib lung cancer ajcc v8,3.0
92,francesco merli,12,diffuse large b-cell lymphoma,3.0
93,gianluca campo,12,coronary artery disease,3.0
94,carlo visco,11,mantle cell lymphoma,2.0
95,michele milella,11,pancreatic adenocarcinoma metastatic,2.0
96,felicetto ferrara,11,myelodysplastic syndromes,1.0
97,andrea ardizzoni,11,small cell lung cancer,2.0
98,preston d. steen,11,stage iiib lung cancer ajcc v8,3.0
99,luca nassi,11,classical hodgkin lymphoma,2.0
100,antonio cuneo,11,chronic lymphocytic leukemia,4.0
101,rosario d'anna,11,metabolic syndrome,6.0
102,riccardo caccialanza,11,amyloidosis,2.0
103,alessandro di martino,11,knee osteoarthritis,4.0
104,angelo delmonte,11,"sclc,extensive stage",2.0
105,paolo bossi,11,cancer,2.0
106,abele donati,11,respiratory failure,2.0
107,emanuele zucca,11,marginal zone lymphoma,2.0
108,massimiliano bonifacio,11,acute lymphoblastic leukemia,2.0
109,claudio zamagni,11,ovarian cancer,3.0
110,nicoletta colombo,11,ovarian cancer,6.0
111,marco valgimigli,11,coronary artery disease,4.0
112,egidio barbi,11,procedural pain,2.0
113,alberto fabbri,11,diffuse large b-cell lymphoma,4.0
114,manuela zanni,11,follicular lymphoma,3.0
115,ugo consoli,11,immune thrombocytopenia,2.0
116,fabio efficace,11,chronic myeloid leukemia,3.0
117,joseph j. merchant,11,stage iiib lung cancer ajcc v8,3.0
118,pasquale mansueto,11,non-celiac gluten sensitivity,3.0
119,francesco grossi,11,non small cell lung cancer,3.0
120,simone ferrero,11,"endometriosis, rectum",2.0
121,andrea necchi,10,bladder cancer,2.0
122,sara lonardi,10,metastatic colorectal adenocarcinoma,1.0
123,andrea natali,10,obesity,2.0
124,loreto gesualdo,10,hemodialysis,2.0
125,antonio pinto,10,hodgkin lymphoma,3.0
126,valentina guarneri,10,breast cancer,2.0
127,vittorio gebbia,10,adrenocortical carcinoma,2.0
128,tomasz wrobel,10,diffuse large b-cell lymphoma,2.0
129,giuseppe procopio,10,metastatic renal cell carcinoma,4.0
130,barbara botto,10,diffuse large b-cell lymphoma,2.0
131,emilio bria,10,"carcinoma, non-small-cell lung",2.0
132,domenico galetta,10,non small cell lung cancer,3.0
133,antoine italiano,10,medullary thyroid cancer,2.0
134,bruno vincenzi,10,mesenchymal chondrosarcoma,1.0
135,michele baccarani,10,chronic myeloid leukemia,3.0
136,marcello tiseo,10,non-small cell lung cancer,2.0
137,maria grazia benedetti,10,laxity of ligament,2.0
138,salvatrice mancuso,10,diffuse large b-cell lymphoma,3.0
139,franca fagioli,10,solid organ transplant complications,1.0
140,alessandra fabi,10,metastatic breast cancer,5.0
141,evaristo maiello,10,pancreatic ductal adenocarcinoma,2.0
142,giampaolo tortora,10,metastatic colorectal cancer,2.0
143,claudio fozza,10,acute myeloid leukemia,2.0
144,alberto bosi,10,multiple myeloma,2.0
145,attilio guarini,9,dlbcl,2.0
146,caterina stelitano,9,follicular lymphoma,2.0
147,stefano luminari,9,follicular lymphoma,4.0
148,antonio colombo,9,myocardial ischemia,3.0
149,john a. ellerton,9,stage iiib lung cancer ajcc v8,2.0
150,david m. king,9,stage iiib lung cancer ajcc v8,2.0
151,domenica lorusso,9,ovarian cancer,2.0
152,sarah j. sinclair,9,stage iiib lung cancer ajcc v8,2.0
153,piero galieni,9,primary central nervous system lymphoma,1.0
154,silvia stacchiotti,9,solitary fibrous tumor,3.0
155,daniela cilloni,9,acute myeloid leukemia,2.0
156,andrew j. huang,9,prostate adenocarcinoma,2.0
157,roberto foà,9,acute lymphoblastic leukemia,3.0
158,luigi rigacci,9,diffuse large b-cell lymphoma recurrent,1.0
159,carmine selleri,9,diffuse large b-cell lymphoma,2.0
160,fabrizio d'ascenzo,9,acute coronary syndrome,5.0
161,lorenzo antonuzzo,9,neuroendocrine carcinoma,2.0
162,boehringer ingelheim study coordinator,9,hypertension,4.0
163,richard greil,9,ebv+ post-transplant lymphoproliferative disease (ebv+ ptld),1.0
164,monica giordano,9,metastatic breast cancer,2.0
165,bartosz korczowski,9,ulcerative colitis,3.0
166,antonio lambiase,9,malignant pleural mesothelioma,2.0
167,francesco di costanzo,9,"carcinoma, non-small-cell lung",1.0
168,adriano venditti,9,acute myeloid leukemia,3.0
169,bret e. friday,9,stage iiib lung cancer ajcc v8,2.0
170,gianmaria cammarota,9,respiratory failure,2.0
171,howard m. gross,9,stage iiib lung cancer ajcc v8,2.0
172,antonio pesenti,9,septic shock,2.0
173,massimo girardis,9,sars-cov infection,2.0
174,benedetta puccini,9,follicular lymphoma,3.0
175,flora peyvandi,9,hemophilia a,4.0
176,massimo breccia,8,anemia,2.0
177,luca sangiorgi,8,osteogenesis imperfecta,3.0
178,vincenzo adamo,8,locally advanced breast cancer,1.0
179,vittorio ruggero zilioli,8,follicular lymphoma,3.0
180,franco locatelli,8,solid organ transplant complications,2.0
181,luca filippi,8,retinopathy of prematurity,4.0
182,laura biganzoli,8,breast cancer,4.0
183,daniele vallisa,8,acute myeloid leukemia,2.0
184,sonya de lorenzo,8,follicular lymphoma,2.0
185,andres ferreri,8,mantle cell lymphoma,2.0
186,claudio bassi,8,pancreatic diseases,2.0
187,valeria santini,8,myelodysplastic syndromes,4.0
188,alessandra iurlo,8,chronic myeloid leukemia,3.0
189,chiara cattaneo,8,acute myeloid leukemia,2.0
190,william j. irvin,8,pi3k gene mutation,1.0
191,roberto labianca,8,moli-sani subjects,1.0
192,massimo federico,8,"lymphoma, t-cell, peripheral",1.0
193,maria paola martelli,8,acute myeloid leukemia,3.0
194,thomas e. lad,8,stage iiib lung cancer ajcc v8,2.0
195,roberto bordonaro,8,metastatic colorectal cancer,2.0
196,lisa bailey,8,metastatic malignant neoplasm in the brain,2.0
197,roberto sartori,8,follicular lymphoma,2.0
198,giulia pasello,8,non small cell lung cancer,2.0
199,emanuele angelucci,8,diffuse large b-cell lymphoma,2.0
200,massimo allegri,8,anesthesia,3.0
201,bruno martino,8,chronic myeloid leukemia,2.0
202,alessandra gennari,8,breast cancer,2.0
203,diego cortinovis,8,non small cell lung cancer,2.0
204,stefano cascinu,8,pancreatic cancer,2.0
205,luca laurenti,8,chronic lymphocytic leukemia,5.0
206,paolo pelosi,8,"respiratory distress syndrome, adult",1.0
207,antonio santoro,8,renal failure requiring haemodialysis,1.0
208,elizaveta kon,8,"osteoarthritis, knee",2.0
209,giuseppe citerio,8,subarachnoid hemorrhage,3.0
210,giacomo bellani,8,respiratory failure,2.0
211,sergio amadori,8,leukemia,6.0
212,fortunato ciardiello,8,advanced non-small cell lung cancer,2.0
213,mauro gacci,8,bladder cancer,2.0
214,vincenzo mazzaferro,8,hepatocellular carcinoma,4.0
215,alberto sobrero,8,colon cancer,2.0
216,antonio frassoldati,8,metastatic breast cancer,3.0
217,michele merli,8,follicular lymphoma,3.0
218,annarita conconi,8,follicular lymphoma,4.0
219,angela buonadonna,8,"sarcoma, soft tissue",1.0
220,alberto zambelli,8,breast cancer,3.0
221,guido fanelli,8,"anesthesia,spinal",2.0
222,federico longhini,8,quality of life,1.0
223,francesco blasi,8,cryptococcosis or aspergillosis infections,1.0
224,marco ladetto,7,diffuse large b-cell lymphoma,1.0
225,giuseppe aprile,7,triple negative breast cancer,1.0
226,wojciech jurczak,7,chronic lymphocytic leukemia,2.0
227,andrea decensi,7,ductal carcinoma in situ,1.0
228,vincenzo montesarchio,7,metastatic breast cancer,2.0
229,ferdinando riccardi,7,metastatic breast cancer,4.0
230,luca brazzi,7,septic shock,2.0
231,angela amigoni,7,sedation complication,2.0
232,alison k. conlin,7,stage iiib lung cancer ajcc v8,3.0
233,marzia lazzerini,7,perinatal care,1.0
234,sandra aliberti,7,soft tissue sarcoma,3.0
235,leonardo flenghi,7,"non-hodgkin lymphoma,b cell",1.0
236,francesco cognetti,7,metastatic breast cancer,6.0
237,albert s. denittis,7,stage iia non-small cell lung carcinoma ajcc v7,1.0
238,adolfo favaretto,7,pancreas ductal adenocarcinoma,1.0
239,fausto barbieri,7,non-small cell lung cancer,1.0
240,domenico pastore,7,classical hodgkin lymphoma,1.0
241,simona sica,7,acute myeloid leukemia,2.0
242,ombretta annibali,7,elderly patients,1.0
243,pietro lampertico,7,primary sclerosing cholangitis,1.0
244,giulio maria marcheggiani muccioli,7,knee osteoarthritis,3.0
245,yuhchyau chen,7,prostate adenocarcinoma,2.0
246,anna maria di giacomo,7,merkel cell carcinoma,2.0
247,marco colleoni,7,breast cancer,2.0
248,giuseppe derosa,7,diabetes,3.0
249,francesco giorgino,7,obesity,2.0
250,flavia prodam,7,obesity,3.0
251,alice di rocco,7,diffuse large b-cell lymphoma,1.0
252,bernardo cortese,7,coronary artery disease,4.0
253,antonio bernardo,7,metastatic breast cancer,2.0
254,sergio bracarda,7,breast neoplasms,1.0
255,renzo guerrini,7,migraine,2.0
256,harvey e. einhorn,7,stage iiib lung cancer ajcc v8,2.0
257,annalisa chiarenza,7,follicular lymphoma,2.0
258,luca richeldi,7,ipf,1.0
259,nicola fracchiolla,7,acute myeloid leukemia,4.0
260,josefina cruz jurado,7,soft tissue sarcoma,2.0
261,davide melisi,7,biliary tract cancer,1.0
262,carlo dani,7,lung injury,1.0
263,mitchell haut,7,stage iiib lung cancer ajcc v8,2.0
264,enrico gringeri,7,primary sclerosing cholangitis,1.0
265,claudio borghi,7,hypercholesterolemia,3.0
266,fausto roila,7,metastatic breast cancer,2.0
267,thomas klopstock,7,pantothenate kinase-associated neurodegeneration,2.0
268,alessandro lupi,7,coronary artery disease,3.0
269,medical affairs,7,pyruvate kinase deficiency,4.0
270,claudio verusio,7,locally advanced unresectable gastric cancer,1.0
271,andrea de matteis,7,breast cancer,5.0
272,pietro caironi,7,septic shock,2.0
273,misbah u. qadir,7,stage iiib lung cancer ajcc v8,3.0
274,simone beretta,7,epilepsy,2.0
275,alberto zaniboni,7,pancreas ductal adenocarcinoma,1.0
276,giovanni montini,7,chronic kidney disease,2.0
277,livio pagano,7,acute myeloid leukemia,2.0
278,antonio curti,7,acute myeloid leukemia,4.0
279,paul m. barr,7,pi3k gene mutation,1.0
280,deborah w. wilbur,7,stage iiib lung cancer ajcc v8,2.0
