,Investigator,Number of Studies
0,abbvie inc,89
1,francesco perrone,52
2,boehringer ingelheim,52
3,sandro pignata,27
4,antonio carroccio,25
5,nicola cascavilla,25
6,filippo de braud,24
7,ciro gallo,24
8,alessandro rambaldi,23
9,lisa licitra,22
10,nicola di renzo,21
11,davide chiumello,21
12,michele spina,20
13,francesco zaja,19
14,renato bassan,18
15,bryan a. faller,18
16,luca arcaini,18
17,cesare gridelli,18
18,fabrizio pane,18
19,giuseppe tarantini,17
20,umberto vitolo,17
21,site,17
22,caterina patti,17
23,emanuela palmerini,17
24,armando santoro,17
25,salvatore siena,17
26,paolo corradini,17
27,alessandro morabito,16
28,gianluca gaidano,16
29,jay w. carlson,16
30,attilio olivieri,16
31,stefano nava,16
32,kathleen j. yost,16
33,sara galimberti,16
34,lucia del mastro,16
35,john m. schallenkamp,16
36,rossana berardi,16
37,saverio cinieri,15
38,giovanni martinelli,15
39,filippo pietrantonio,15
40,site coordinator,15
41,monica tani,15
42,pier luigi zinzani,15
43,federica cavallo,15
44,stefano zaffagnini,15
45,roberta licciardi,15
46,alessandra tucci,15
47,lorenzo livi,15
48,massimo di maio,15
49,agostino tafuri,14
50,paolo ascierto,14
51,donato mannina,14
52,michelino de laurentiis,14
53,catello califano,14
54,richard l. deming,14
55,giacomo grasselli,14
56,guido gini,14
57,maurizio martelli,13
58,luigi cavanna,13
59,stefan hohaus,13
60,anna marina liberati,13
61,giovanni grignani,13
62,alfredo falcone,13
63,silvia novello,13
64,ugo de giorgi,13
65,fabio ciceri,13
66,michele maio,13
67,stefania gori,13
68,elsa pennese,13
69,shahzad siddique,13
70,timothy r. wassenaar,13
71,pellegrino musto,13
72,nicholas dibella,13
73,gregory a. masters,13
74,francesco di raimondo,13
75,annalisa arcari,13
76,umberto cillo,12
77,sabino de placido,12
78,fabio puglisi,12
79,antonio avallone,12
80,vincenzo pavone,12
81,david antoniucci,12
82,monica bocchia,12
83,alessio g morganti,12
84,luca elli,12
85,gerardo musuraca,12
86,virginia ferraresi,12
87,elisabetta abruzzese,12
88,savino spadaro,12
89,joshua lukenbill,12
90,federico cappuzzo,12
91,timothy d. moore,12
92,francesco merli,12
93,gianluca campo,12
94,carlo visco,11
95,michele milella,11
96,felicetto ferrara,11
97,andrea ardizzoni,11
98,preston d. steen,11
99,luca nassi,11
100,antonio cuneo,11
101,rosario d'anna,11
102,riccardo caccialanza,11
103,alessandro di martino,11
104,angelo delmonte,11
105,paolo bossi,11
106,abele donati,11
107,emanuele zucca,11
108,massimiliano bonifacio,11
109,claudio zamagni,11
110,nicoletta colombo,11
111,marco valgimigli,11
112,egidio barbi,11
113,alberto fabbri,11
114,manuela zanni,11
115,ugo consoli,11
116,fabio efficace,11
117,joseph j. merchant,11
118,pasquale mansueto,11
119,francesco grossi,11
120,simone ferrero,11
121,andrea necchi,10
122,sara lonardi,10
123,andrea natali,10
124,loreto gesualdo,10
125,antonio pinto,10
126,valentina guarneri,10
127,vittorio gebbia,10
128,tomasz wrobel,10
129,giuseppe procopio,10
130,barbara botto,10
131,emilio bria,10
132,domenico galetta,10
133,antoine italiano,10
134,bruno vincenzi,10
135,michele baccarani,10
136,marcello tiseo,10
137,maria grazia benedetti,10
138,salvatrice mancuso,10
139,franca fagioli,10
140,alessandra fabi,10
141,evaristo maiello,10
142,giampaolo tortora,10
143,claudio fozza,10
144,alberto bosi,10
145,attilio guarini,9
146,caterina stelitano,9
147,stefano luminari,9
148,antonio colombo,9
149,john a. ellerton,9
150,david m. king,9
151,domenica lorusso,9
152,sarah j. sinclair,9
153,piero galieni,9
154,silvia stacchiotti,9
155,daniela cilloni,9
156,andrew j. huang,9
157,roberto foà,9
158,luigi rigacci,9
159,carmine selleri,9
160,fabrizio d'ascenzo,9
161,lorenzo antonuzzo,9
162,boehringer ingelheim study coordinator,9
163,richard greil,9
164,monica giordano,9
165,bartosz korczowski,9
166,antonio lambiase,9
167,francesco di costanzo,9
168,adriano venditti,9
169,bret e. friday,9
170,gianmaria cammarota,9
171,howard m. gross,9
172,antonio pesenti,9
173,massimo girardis,9
174,benedetta puccini,9
175,flora peyvandi,9
176,massimo breccia,8
177,luca sangiorgi,8
178,vincenzo adamo,8
179,vittorio ruggero zilioli,8
180,franco locatelli,8
181,luca filippi,8
182,laura biganzoli,8
183,daniele vallisa,8
184,sonya de lorenzo,8
185,andres ferreri,8
186,claudio bassi,8
187,valeria santini,8
188,alessandra iurlo,8
189,chiara cattaneo,8
190,william j. irvin,8
191,roberto labianca,8
192,massimo federico,8
193,maria paola martelli,8
194,thomas e. lad,8
195,roberto bordonaro,8
196,lisa bailey,8
197,roberto sartori,8
198,giulia pasello,8
199,emanuele angelucci,8
200,massimo allegri,8
201,bruno martino,8
202,alessandra gennari,8
203,diego cortinovis,8
204,stefano cascinu,8
205,luca laurenti,8
206,paolo pelosi,8
207,antonio santoro,8
208,elizaveta kon,8
209,giuseppe citerio,8
210,giacomo bellani,8
211,sergio amadori,8
212,fortunato ciardiello,8
213,mauro gacci,8
214,vincenzo mazzaferro,8
215,alberto sobrero,8
216,antonio frassoldati,8
217,michele merli,8
218,annarita conconi,8
219,angela buonadonna,8
220,alberto zambelli,8
221,guido fanelli,8
222,federico longhini,8
223,francesco blasi,8
224,marco ladetto,7
225,giuseppe aprile,7
226,wojciech jurczak,7
227,andrea decensi,7
228,vincenzo montesarchio,7
229,ferdinando riccardi,7
230,luca brazzi,7
231,angela amigoni,7
232,alison k. conlin,7
233,marzia lazzerini,7
234,sandra aliberti,7
235,leonardo flenghi,7
236,francesco cognetti,7
237,albert s. denittis,7
238,adolfo favaretto,7
239,fausto barbieri,7
240,domenico pastore,7
241,simona sica,7
242,ombretta annibali,7
243,pietro lampertico,7
244,giulio maria marcheggiani muccioli,7
245,yuhchyau chen,7
246,anna maria di giacomo,7
247,marco colleoni,7
248,giuseppe derosa,7
249,francesco giorgino,7
250,flavia prodam,7
251,alice di rocco,7
252,bernardo cortese,7
253,antonio bernardo,7
254,sergio bracarda,7
255,renzo guerrini,7
256,harvey e. einhorn,7
257,annalisa chiarenza,7
258,luca richeldi,7
259,nicola fracchiolla,7
260,josefina cruz jurado,7
261,davide melisi,7
262,carlo dani,7
263,mitchell haut,7
264,enrico gringeri,7
265,claudio borghi,7
266,fausto roila,7
267,thomas klopstock,7
268,alessandro lupi,7
269,medical affairs,7
270,claudio verusio,7
271,andrea de matteis,7
272,pietro caironi,7
273,misbah u. qadir,7
274,simone beretta,7
275,alberto zaniboni,7
276,giovanni montini,7
277,livio pagano,7
278,antonio curti,7
279,paul m. barr,7
280,deborah w. wilbur,7
281,william tse,7
282,antonio gasbarrini,7
283,maurizio musso,7
284,douglas j. weckstein,7
285,giuseppe lombardi,7
286,erika borlenghi,7
287,francesca bergamo,7
288,giulio metro,7
289,dante dallari,7
290,francesca bonifazi,7
291,giuseppe visani,7
292,sara bigliardi,7
293,jacopo olivieri,7
294,alessandro levis,7
295,sharad a. ghamande,7
296,emanuele cereda,7
297,matthew l. ryan,7
298,vincenzo maria saraceni,7
299,alessandro bertolini,7
300,ester forastiere,7
301,kurt oettel,7
302,davide rossi,7
303,maria r. tria tirona,7
304,giuseppe tonini,7
305,giuseppe curigliano,7
306,libero ciuffreda,7
307,toni ibrahim,7
308,giancarlo castaman,7
309,daniele santini,7
310,dario marino,7
311,giovanna chidini,7
312,tarek m. sabagh,7
313,andrea gori,7
314,silvia marsoni,6
315,leon c. hwang,6
316,martin j. van den bent,6
317,marina mordenti,6
318,massimo aglietta,6
319,francesco violi,6
320,donald b. wender,6
321,massimo mancone,6
322,terrence p. cescon,6
323,samer s. kasbari,6
324,paolo brambilla,6
325,elisabetta scarpa,6
326,ashkan bahrani,6
327,giovanni marchegiani,6
328,ester orlandi,6
329,nir peled,6
330,giovanni landoni,6
331,gianmarco ghiggeri,6
332,roberto cairoli,6
333,erica secchettin,6
334,massimo gentile,6
335,gennaro daniele,6
336,gian paolo fadini,6
337,nicola silvestris,6
338,dennis f. moore,6
339,thomas langer,6
340,pablo m ingelmo,6
341,alfredo budillon,6
342,enrico cerrato,6
