,AHC,Sponsors/Collaborators,Number of Collaborations
0,Federico II,Federico II University Hospital,271
1,Federico II,GSK Investigational Site,103
2,Federico II,Research Site,96
3,Federico II,Agostino Gemelli University Polyclinic,73
4,Federico II,Vall d'Hebron Hospital Universitari,66
5,Federico II,IRCCS Ospedale San Raffaele,62
6,Federico II,Azienda Ospedaliero-Universitaria Careggi,57
7,Federico II,Spedali Civili di Brescia,56
8,Federico II,Azienda Ospedaliero Universitaria Ospedali Riuniti,55
9,Federico II,Hospital Universitario Ramón y Cajal,53
10,Federico II,Hospital Universitario Virgen del Rocío,52
11,Federico II,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,52
12,Federico II,Azienda Ospedaliera Universitaria Pisana,51
13,Federico II,Universitair Ziekenhuis Leuven,50
14,Federico II,Policlinico S.Orsola-Malpighi,50
15,Federico II,Hospital Universitario 12 de Octubre,48
16,Federico II,Hospital Clínic de Barcelona,47
17,Federico II,Sapienza University of Rome,47
18,Federico II,Sheba Medical Center,45
19,Federico II,Charité - University Medicine Berlin,45
20,Federico II,Policlinico Tor Vergata,45
21,Federico II,IRCCS Humanitas Research Hospital,43
22,Federico II,Hospital de Sant Pau,42
23,Federico II,Hospital Universitario La Paz,42
24,Federico II,Samsung Medical Center,41
25,Federico II,Casa Sollievo della Sofferenza,41
26,Federico II,Mayo Clinic,40
27,Federico II,Seoul National University Hospital,40
28,Federico II,Policlinico San Matteo Fondazione,38
29,Federico II,Ospedale Policlinico San Martino,37
30,Federico II,Semmelweis University,37
31,Federico II,University of Debrecen,36
32,Federico II,University Hospital Carl Gustav Carus,35
33,Federico II,Asan Medical Center,35
34,Federico II,Ospedale Papa Giovanni XXIII,35
35,Federico II,"Azienda Ospedaliera Universitaria Policlinico ""Paolo Giaccone"" di Palermo",35
36,Federico II,Centre Hospitalier Universitaire de Nantes,35
37,Federico II,Karolinska University Hospital,35
38,Federico II,Tel Aviv Sourasky Medical Center,34
39,Federico II,Centre Hospitalier Universitaire de Bordeaux,34
40,Federico II,Hospital Universitari i Politècnic La Fe,34
41,Federico II,National Taiwan University Hospital,34
42,Federico II,Hannover Medical School,33
43,Federico II,Hospital General Universitario Gregorio Marañón,33
44,Federico II,Aarhus University Hospital,33
45,Federico II,Hospital Universitario Reina Sofía,33
46,Federico II,Azienda Ospedaliera di Padova,32
47,Federico II,University of Alabama at Birmingham,32
48,Federico II,Rambam Health Care Campus,32
49,Federico II,Ghent University Hospital,32
50,Federico II,General Hospital of Athens G. Genimatas,31
51,Federico II,Azienda Ospedaliera San Gerardo,31
52,Federico II,USC University Hospital Complex,31
53,Federico II,Hospital Universitari Germans Trias i Pujol,30
54,Federico II,General University Hospital in Prague,29
55,Federico II,Medical University of Vienna,29
56,Federico II,Antwerp University Hospital,28
57,Federico II,Cliniques Universitaires Saint-Luc,28
58,Federico II,University Hospital Heidelberg,28
59,Federico II,Policlinico Umberto I,28
60,Federico II,Erasmus MC,28
61,Federico II,University Hospital Schleswig-Holstein,27
62,Federico II,Massachusetts General Hospital,27
63,Federico II,Azienda Ospedaliera Universitaria Integrata Verona,27
64,Federico II,University of Naples Federico II,27
65,Federico II,Washington University in St. Louis,27
66,Federico II,Azienda Ospedaliera Citta' della Salute e della Scienza di Torino,27
67,Federico II,Severance Hospital,26
68,Federico II,Seoul National University Bundang Hospital,26
69,Federico II,Complexo Hospitalario Universitario A Coruña,26
70,Federico II,Ospedale Vincenzo Cervello,26
71,Federico II,Centre Hospitalier Universitaire de Grenoble,26
72,Federico II,Hadassah Medical Center,26
73,Federico II,Korea University Medical Center,25
74,Federico II,Cleveland Clinic,25
75,Federico II,Royal Adelaide Hospital,25
76,Federico II,University Hospital Frankfurt,25
77,Federico II,"University of California, San Francisco",25
78,Federico II,Hospital Clínico San Carlos,24
79,Federico II,Hospital Universitario Virgen Macarena,24
80,Federico II,University Hospital Hradec Králové,24
81,Federico II,Ospedale Santa Maria della Misericordia di Udine,24
82,Federico II,University of Colorado Hospital,24
83,Federico II,Hospital Del Mar,24
84,Federico II,Hospital Clínico Universitario de Valencia,24
85,Federico II,The University of Texas Southwestern Medical Center,24
86,Federico II,Academic Medical Center,24
87,Federico II,Rabin Medical Center,24
88,Federico II,Hôpital Saint-Louis,24
89,Federico II,Ospedale di Parma,24
90,Federico II,Oslo University Hospital,23
91,Federico II,Centre Hospitalier Universitaire de Liège,23
92,Federico II,University Medical Center Groningen,23
93,Federico II,Clínica Universidad de Navarra,23
94,Federico II,Istituti Fisioterapici Ospitalieri,23
95,Federico II,University Hospital Ulm,23
96,Federico II,Aalborg University Hospital,23
97,Federico II,Hospital Universitario Puerta de Hierro Majadahonda,22
98,Federico II,Azienda Ospedaliera di Perugia,22
99,Federico II,University Hospital Leipzig,22
100,Federico II,China Medical University Hospital,22
101,Federico II,Azienda Universitaria Ospedaliera Consorziale - Policlinico Bari,22
102,Federico II,Central University Hospital of Asturias,22
103,Federico II,Centre Hospitalier Régional et Universitaire de Lille,22
104,Federico II,Fondazione Gimema Onlus,22
105,Federico II,National Cheng Kung University Hospital,22
106,Federico II,University of Bologna,22
107,Federico II,Kaohsiung Medical University Chung-Ho Memorial Hospital,22
108,Federico II,University of Kansas Medical Center,22
109,Federico II,Policlinico di Modena,22
110,Federico II,Azienda Ospedaliera Universitaria Senese,22
111,Federico II,Ospedale Antonio Cardarelli,22
112,Federico II,Hospital Clínico Universitario Virgen de la Victoria,21
113,Federico II,A. O. Ordine Mauriziano di Torino,21
114,Federico II,"Azienda ospedaliera ""Bianchi-Melacrino-Morelli""",21
115,Federico II,Rigshospitalet,21
116,Federico II,University of Cincinnati,21
117,Federico II,University General Hospital Attikon,21
118,Federico II,University Hospital in Motol,21
119,Federico II,Ankara University,21
120,Federico II,"University of California, Los Angeles",21
121,Federico II,Hacettepe University,21
122,Federico II,Oregon Health & Science University,21
123,Federico II,Hospital Italiano de Buenos Aires,21
124,Federico II,Pitié-Salpêtrière Hospital,21
125,Federico II,Sahlgrenska University Hospital,21
126,Federico II,Vanderbilt University Medical Center,21
127,Federico II,University Hospital Münster,21
128,Federico II,Complejo Hospitalario de Salamanca,20
129,Federico II,University Hospitals Cleveland Medical Center,20
130,Federico II,The Alfred Hospital,20
131,Federico II,Radboud University Nijmegen Medical Centre,20
132,Federico II,Hospital de Clínicas de Porto Alegre,20
133,Federico II,Arcispedale Sant'Anna,20
134,Federico II,General University Hospital of Patras,20
135,Federico II,"University of Campania ""Luigi Vanvitelli""",20
136,Federico II,Gachon University Gil Medical Center,20
137,Federico II,Hospitais da Universidade de Coimbra,20
138,Federico II,University Medical Center of the Johannes Gutenberg University Mainz,20
139,Federico II,Essen University Hospital,20
140,Federico II,St. Eugenio Hospital,20
141,Federico II,"Azienda Ospedaliera Universitaria Policlinico ""G. Martino""",20
142,Federico II,Istituto Oncologico Veneto,19
