,Main Funder,Collaborating Funder,Number of Collaborations
0,AMRC - Association of Medical Research Charities,European Organisation for Research and Treatment of Cancer,120
1,ICRP - International Cancer Research Partnership,National Cancer Institute,116
2,US Federal Funders,National Cancer Institute,116
3,NIH - National Institutes of Health,National Cancer Institute,116
4,EC & ERC - European Union,European Commission,45
5,cOAlition S,European Commission,45
6,ICRP - International Cancer Research Partnership,Italian Association for Cancer Research,22
7,US Federal Funders,Alliance for Clinical Trials in Oncology,15
8,ICRP - International Cancer Research Partnership,Alliance for Clinical Trials in Oncology,15
9,NIH - National Institutes of Health,Alliance for Clinical Trials in Oncology,15
10,AMRC - Association of Medical Research Charities,Queen's University,7
11,NIH - National Institutes of Health,National Institute of Neurological Disorders and Stroke,6
12,US Federal Funders,University of Rochester,6
13,ICRP - International Cancer Research Partnership,University of Pennsylvania,6
14,US Federal Funders,National Institute of Neurological Disorders and Stroke,6
15,ICRP - International Cancer Research Partnership,University of Rochester,6
16,US Federal Funders,University of Pennsylvania,6
17,NIH - National Institutes of Health,University of Pennsylvania,6
18,NIH - National Institutes of Health,University of Rochester,6
19,ICRP - International Cancer Research Partnership,National Institute of Neurological Disorders and Stroke,6
20,US Federal Funders,United States Food and Drug Administration,6
21,ICRP - International Cancer Research Partnership,National Heart Lung and Blood Institute,5
22,US Federal Funders,Stanford University,5
23,NIH - National Institutes of Health,National Heart Lung and Blood Institute,5
24,ICRP - International Cancer Research Partnership,Canadian Institutes of Health Research,5
25,NIH - National Institutes of Health,Stanford University,5
26,NIHR - National Institute for Health Research,National Institute for Health and Care Research,5
27,NIH - National Institutes of Health,Children's Hospital of Philadelphia,5
28,ICRP - International Cancer Research Partnership,Istituto Neurologico Carlo Besta,5
29,ICRP - International Cancer Research Partnership,Stanford University,5
30,US Federal Funders,Children's Hospital of Philadelphia,5
31,ICRP - International Cancer Research Partnership,Children's Hospital of Philadelphia,5
32,AMRC - Association of Medical Research Charities,Children's Cancer and Leukaemia Group,5
