,Trial ID,End Date,Condition
0,NCT04827433,2025-04-28,Low-Lying
1,NCT04827433,2025-04-28,"Placenta, Hemorrhage, Complicating Delivery"
2,NCT03395522,2025-04-25,BPH
3,NCT04884802,2025-04-25,Blood Pressure
4,NCT03370172,2025-04-24,Hemophilia A
5,NCT05405114,2025-04-16,Sickle Cell Disease
6,NCT03884101,2025-04-10,Endometrial Neoplasms
7,ISRCTN63434223,2025-04-08,Lymphomas and chronic lymphoproliferative syndromes
8,NCT04290299,2025-04-08,Endometrial Cancer
9,NCT01772472,2025-04-03,Breast Cancer
10,ISRCTN18419418,2025-04-01,"Genetic, behavioural and environmental risk factors of metabolic syndrome in people treated with antipsychotics (schizophrenia, bipolar disorder, neurodevelopmental disorder)"
11,NCT02568267,2025-04-01,Breast Cancer
12,NCT02568267,2025-04-01,Cholangiocarcinoma
13,NCT02568267,2025-04-01,Colorectal Cancer
14,NCT02568267,2025-04-01,Head and Neck Neoplasms
15,NCT02568267,2025-04-01,"Lymphoma, Large-Cell, Anaplastic"
16,NCT02568267,2025-04-01,Melanoma
17,NCT02568267,2025-04-01,Neuroendocrine Tumors
18,NCT02568267,2025-04-01,Non-Small Cell Lung Cancer
19,NCT02568267,2025-04-01,Ovarian Cancer
20,NCT02568267,2025-04-01,Pancreatic Cancer
21,NCT02568267,2025-04-01,Papillary Thyroid Cancer
22,NCT02568267,2025-04-01,Primary Brain Tumors
23,NCT02568267,2025-04-01,Renal Cell Carcinoma
24,NCT02568267,2025-04-01,Sarcomas
25,NCT02568267,2025-04-01,Salivary Gland Cancers
26,NCT02568267,2025-04-01,Adult Solid Tumor
27,NCT03073967,2025-04-01,HSV Infection
28,NCT03364153,2025-04-01,Stargardt Disease 1
29,NCT03557957,2025-04-01,Hyponatremia
30,NCT03566017,2025-04-01,Fabry Disease
31,NCT03587064,2025-04-01,Heart Failure
32,NCT03587064,2025-04-01,Cardiac Resynchronization Therapy
33,NCT04253184,2025-04-01,Bradycardia
34,NCT04342962,2025-04-01,Acute Myeloid Leukemia
35,NCT04662255,2025-04-01,"Lymphoma, Mantle-Cell"
36,NCT04709731,2025-04-01,Chronic Myeloid Leukemia (CML)
37,NCT04868877,2025-04-01,Non-Small Cell Lung Cancer Metastatic
38,NCT04868877,2025-04-01,Gastric Cancer
39,NCT04868877,2025-04-01,Esophageal Squamous Cell Carcinoma
40,NCT04868877,2025-04-01,Head and Neck Squamous Cell Carcinoma
41,NCT05027594,2025-04-01,Multiple Myeloma
42,NCT05130450,2025-04-01,Familial Chylomicronemia Syndrome
43,NCT05147961,2025-04-01,PreDiabetes
44,NCT05232825,2025-04-01,Relapsing Multiple Sclerosis
45,NCT05232825,2025-04-01,Primary Progressive Multiple Sclerosis
46,NCT05331183,2025-04-01,Cystic Fibrosis
47,NCT05568212,2025-04-01,Non-small-cell Lung Cancer Patients
48,NCT05952648,2025-04-01,HAP - Hospital Acquired Pneumonia
49,NCT05952648,2025-04-01,VAP - Ventilator Associated Pneumonia
50,NCT06046508,2025-04-01,Migraine Headache
51,NCT06046508,2025-04-01,PFO - Patent Foramen Ovale
52,NCT06123234,2025-04-01,Irritable Bowel Syndrome
53,ISRCTN97744893,2025-03-31,Stroke
54,NCT03879135,2025-03-31,Von Willebrand Disease (VWD)
55,NCT04212390,2025-03-31,MDS (Myelodysplastic Syndrome)
56,NCT05035030,2025-03-31,Alagille Syndrome
57,NCT05473481,2025-03-31,Heart Failure
