TrialID,Title,AltmetricScore,Condition
NCT03105128,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study of the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Crohn's Disease",1129.0,crohn's disease
NCT04292899,A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe COVID-19,1081.0,covid-19
NCT03398148,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study to Evaluate the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Ulcerative Colitis",1061.0,ulcerative colitis (uc)
NCT03398135,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Ulcerative Colitis",1030.0,ulcerative colitis (uc)
NCT03569293,"A Phase 3 Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Upadacitinib in Adolescent and Adult Subjects With Moderate to Severe Atopic Dermatitis",1010.0,atopic dermatitis
NCT03671148,"A Phase 3, Randomized, Double-Blind Study Comparing Risankizumab to Placebo in Subjects With Active Psoriatic Arthritis Including Those Who Have a History of Inadequate Response or Intolerance to Biologic Therapy(Ies) (KEEPsAKE 2)",962.0,psoriatic arthritis (psa)
NCT02811861,"A Multicenter, Open-label, Randomized, Phase 3 Trial to Compare the Efficacy and Safety of Lenvatinib in Combination With Everolimus or Pembrolizumab Versus Sunitinib Alone in First-Line Treatment of Subjects With Advanced Renal Cell Carcinoma (CLEAR)",860.0,renal cell carcinoma
NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,newly diagnosed acute myeloid leukemia (aml)
NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,untreated aml
NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,aml arising from myelodysplastic syndrome (mds)
NCT03173248,"A Phase 3, Multicenter, Double-Blind, Randomized, Placebo-Controlled Study of AG-120 in Combination With Azacitidine in Subjects ≥ 18 Years of Age With Previously Untreated Acute Myeloid Leukemia With an IDH1 Mutation",834.0,"leukemia, myeloid, acute"
NCT03057951,"A Phase III Randomised, Double-blind Trial to Evaluate Efficacy and Safety of Once Daily Empagliflozin 10 mg Compared to Placebo, in Patients With Chronic Heart Failure With Preserved Ejection Fraction (HFpEF)",831.0,heart failure
NCT04292730,A Phase 3 Randomized Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate COVID-19 Compared to Standard of Care Treatment,823.0,covid-19
NCT04136184,"A Phase 3 Global, Open-Label, Randomized Study to Evaluate the Efficacy and Safety of ION-682884 in Patients With Hereditary Transthyretin-Mediated Amyloid Polyneuropathy",806.0,hereditary transthyretin-mediated amyloid polyneuropathy
NCT04303780,"A Phase 3 Multicenter, Randomized, Open Label, Active-controlled, Study of AMG 510 Versus Docetaxel for the Treatment of Previously Treated Locally Advanced and Unresectable or Metastatic NSCLC Subjects With Mutated KRAS p.G12C",788.0,"kras p, g12c mutated /advanced metastatic nsclc"
NCT03855137,"A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy, Safety, and Tolerability of Atogepant for the Prevention of Chronic Migraine (Progress)",784.0,chronic migraine
NCT03675308,"A Phase 3, Randomized, Double-Blind, Study Comparing Risankizumab to Placebo in Subjects With Active Psoriatic Arthritis (PsA) Who Have a History of Inadequate Response to or Intolerance to at Least One Disease Modifying Anti-Rheumatic Drug (DMARD) Therapy (KEEPsAKE 1)",775.0,psoriatic arthritis
NCT03594110,A Multicentre International Randomized Parallel Group Double-blind Placebo-controlled Clinical Trial of EMPAgliflozin Once Daily to Assess Cardio-renal Outcomes in Patients With Chronic KIDNEY Disease,734.0,chronic kidney disease
NCT04933695,"A Phase 2, Multicenter, Open-label Study of Sotorasib (AMG 510) in Subjects With Stage IV NSCLC Whose Tumors Harbor a KRAS G12C Mutation in Need of First-line Treatment (CodeBreaK 201)",730.0,non-small cell lung cancer
NCT04487080,"A Phase 3, Randomized Study of Amivantamab and Lazertinib Combination Therapy Versus Osimertinib Versus Lazertinib as First-Line Treatment in Patients With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer.",729.0,"carcinoma, non-small-cell lung"
