Condition,avg_altmetric_score
ulcerative colitis (uc),1045.5
psoriatic arthritis (psa),962.0
untreated aml,834.0
aml arising from myelodysplastic syndrome (mds),834.0
newly diagnosed acute myeloid leukemia (aml),834.0
hereditary transthyretin-mediated amyloid polyneuropathy,806.0
"kras p, g12c mutated /advanced metastatic nsclc",788.0
non-alcoholic steatohepatitis,695.0
liver fibroses,695.0
fatty liver,695.0
msa,685.0
pure autonomic failure (paf),685.0
advanced solid tumor,659.0
refractory metastatic gastric cancer,584.0
aml,571.0
huntingtons disease,563.0
cancer of the prostate,558.0
nonmetastatic castration-resistant prostate cancer,558.0
colon carcinoma,553.0
cervical carcinoma,553.0
