Investigator,Top Condition,Number of Studies
antonio carroccio,non-celiac wheat sensitivity,11
sandro pignata,ovarian cancer,8
francesco perrone,ovarian cancer,7
martin j. van den bent,brain and central nervous system tumors,6
ciro gallo,ovarian cancer,5
abbvie inc,crohn's disease,5
sergio amadori,leukemia,5
nicoletta colombo,ovarian cancer,4
roberto foa,leukemia,4
stefano luminari,follicular lymphoma,4
gianantonio rosti,chronic myeloid leukemia,4
antonio cuneo,chronic lymphocytic leukemia,4
nicola cascavilla,acute myeloid leukemia,4
tiziano barbui,polycythemia vera,4
renato bassan,acute lymphoblastic leukemia,4
giovanni martinelli,acute myeloid leukemia,3
ernesta audisio,acute myeloid leukemia,3
nicola fracchiolla,acute myeloid leukemia,3
gianluca villa,acute kidney injury,3
fabrizio d'ascenzo,acute coronary syndrome,3
