Title,AvgParticipants per Title
"The epidemiology, severity, and outcomes of children presenting to emergency departments across Europe during the SARS-COV-2 pandemic: the EPISODES study",2400000.0
Computerized Registry of Patients With Venous Thromboembolism (RIETE),120000.0
What is the Best Interval to Screen Women 45-49 and 70-74 for Breast Cancer,60000.0
PRospective Evaluation of the European Society of Cardiology 0/1-hour Algorithm's Safety and Efficacy for Triage of Patients With Suspected Myocardial Infarction (PRESC1SE-MI),52156.0
"DianaWeb: Before and After Study Online Based Participatory Research to Test Whether Lifestyle and Diet Are Able to Reduce the Incidence of Recurrences (Local, Remote) or Secondary Cancers, Improve Prognosis and Survival of Breast Cancer",50000.0
"A Multicenter, Cross-sectional Study to Characterize the Distribution of Lipoprotein(a) Levels Among Patients With Documented History of Atherosclerotic Cardiovascular Disease",39480.0
Evaluation and Improvement of the Health-care Quality in Semi-intensive Care Units,39000.0
"ONTARGET ONgoing Telmisartan Alone and in Combination With Ramipril Global Endpoint Trial A Large, Simple Randomized Trial of an Angiotensin II Receptor Antagonist (Telmisartan) and an ACE-Inhibitor (Ramipril) in Patients at High Risk for Cardiovascular Events and TRANSCEND Telmisartan Randomized AssessmeNt Study in aCE iNtolerant Subjects With Cardiovascular Disease. A Parallel Study Comparing the Effects of Telmisartan With Placebo and Outcomes in Patients at High Risk for Cardiovascular Events and Intolerant to ACE-I.",31546.0
Combining faecal biomarkers to improve prediction of individual risk of pre-invasive and invasive colorectal lesions,25000.0
ICT Tools for the Diagnosis of Autoimmune Diseases in the Mediterranean Area_CAPITALISATION PROJECT,25000.0
"PRoFESS - Prevention Regimen For Effectively Avoiding Second Strokes: A Double-blind, Active and Placebo Controlled Study of Aggrenox vs. Clopidogrel, With and Without Micardis",20332.0
"""Multicenter Observational Study to Assess the Incidence and Features of COVID-19 and the Response to COVID-19 Vaccination in Fragile Patients""",20000.0
Effects of Ivabradine in Patients With Stable Coronary Artery Disease Without Clinical Heart Failure. A Randomised Double-blind Placebo-controlled International Multicenter Study. Study Assessing the Morbi-mortality Benefits of the If Inhibitor Ivabradine in Patients With Coronary Artery Disease,19102.0
"A Phase 3, Multicenter, Double-blind, Randomized, Placebo-controlled, Parallel-group Study to Investigate the Efficacy and Safety of CSL112 in Subjects With Acute Coronary Syndrome",18200.0
"Assessment of the effectiveness and safety of a probiotic-based sanitizing in limiting the number of healthcare associated infections: a multicenter, prospective, pre-post interventional study",18000.0
"Phase 3 Multi-center, Double-blind, Randomized, Placebo-controlled, Parallel Group Evaluation Of The Efficacy, Safety, And Tolerability Of Bococizumab (Pf-04950615) In Reducing The Occurrence Of Major Cardiovascular Events In High Risk Subjects.",16784.0
"A Phase 3, Randomized, Double-blind, Placebo-controlled, Event-driven Study to Demonstrate the Efficacy and Safety of Milvexian, an Oral Factor XIa Inhibitor, After a Recent Acute Coronary Syndrome",16000.0
Reduced Estimated Glomerular Filtration Rate (eGFR)and Prediction of Cardiovascular Disease and Renal Outcome in Subjects With Type 2 Diabetes: Italian Multicenter Study,15628.0
"Multicenter, Prospective, Observational Study of Clinical Outcomes of Thyroid Cancer",15000.0
"A Phase 3, Randomized, Double-blind, Placebo-Controlled Study to Investigate the Effect of Tirzepatide on the Reduction of Morbidity and Mortality in Adults With Obesity",15000.0
